1,497
2,501
3,469
4,450
5,438
6,422
7,424
8,437
9,394
10,361
11,392
11,392
12,379
13,345
14,335
15,352
16,337
17,350
18,343
18,343
19,321
20,338
21,328
22,312
23,295
24,309
25,318
26,332
27,337
28,327
29,325
30,318
31,326
32,320
33,296
34,278
34,278
35,237
36,249
37,243
38,261
39,253
40,247
41,219
42,247
43,231
44,244
45,231
46,247
47,230
48,205
49,236
50,201
51,232
52,210
53,211
54,231
55,207
56,206
57,190
58,189
59,196
60,215
61,190
62,183
63,164
64,173
65,165
66,194
67,185
68,193
69,181
70,192
71,194
72,204
73,187
74,203
75,188
76,185
77,186
78,176
79,206
80,187
81,185
82,186
83,208
84,194
85,184
86,175
87,187
88,179
89,185
90,165
91,162
92,167
93,175
94,162
95,161
96,163
97,157
98,166
99,152
100,149
101,137
102,144
103,149
104,151
105,156
106,149
107,145
108,148
108,148
109,145
110,146
111,154
112,147
113,170
114,149
115,156
116,153
117,172
118,168
119,171
120,169
121,181
122,183
123,187
124,196
125,212
126,193
127,180
128,176
129,164
130,168
131,173
132,166
133,163
134,170
135,182
136,184
137,189
138,184
139,190
140,184
141,197
142,190
143,177
144,182
145,185
146,178
147,186
148,196
149,197
150,176
151,194
152,191
153,194
154,195
155,188
156,180
157,182
158,186
159,195
160,194
161,198
162,207
163,196
164,199
165,174
166,163
167,177
168,166
169,160
170,166
171,169
172,188
173,172
174,180
175,201
176,168
177,165
178,166
179,155
180,166
181,160
182,154
183,158
184,139
185,154
186,160
187,172
188,186
189,185
190,178
191,189
192,172
192,172
193,161
194,170
195,174
195,174
196,177
197,165
198,161
199,158
200,161
201,166
202,167
202,167
203,147
204,166
205,157
206,159
207,149
208,157
209,160
210,172
211,155
212,157
213,155
214,164
215,152
216,178
217,171
218,189
219,174
220,184
221,165
222,162
223,182
224,162
225,184
226,174
227,168
228,180
229,175
230,165
231,164
232,149
233,163
234,171
235,157
236,156
237,174
238,172
239,168
240,184
241,172
242,157
243,158
244,167
245,163
246,154
247,168
248,147
249,145
250,146
251,164
252,157
253,173
254,161
255,169
256,161
256,161
257,143
258,146
259,143
260,127
261,118
262,114
263,115
264,121
265,106
266,103
267,100
268,96
269,85
270,89
271,87
272,83
273,79
274,87
275,82
276,96
277,79
278,71
279,65
280,66
281,61
282,66
283,57
284,54
